food_id,name,meal_types,ingredients,serving_size_g,calories_kcal,protein_g,carb_g,fat_g,sugar_g,fiber_g,sodium_mg,purine_level,cost_estimate,diet_tags,source,source_version,quality_flags
F089,Dưa hấu,snack,watermelon,300,90,2,22,0,18,1,3,low,10000,vietnamese|vegetarian,ProteinNAP,v1,
F090,Bưởi,snack,pomelo,200,80,2,20,0,12,2,2,low,15000,vietnamese|vegetarian,ProteinNAP,v1,
F091,Sữa chua,snack,yogurt|sugar,150,120,5,18,3,15,0,50,low,12000,vietnamese,ProteinNAP,v1,
F092,Bánh mì kẹp chay,breakfast|lunch,baguette|tofu|cucumber|pickled_carrot|herbs,220,320,12,45,10,4,4,600,low,20000,vietnamese|vegetarian,ProteinNAP,v1,
F093,Lẩu cá,lunch|dinner,fish|tofu|tomato|vegetables|herbs|tamarind,600,420,35,25,18,5,4,1100,moderate,70000,vietnamese|seafood,ProteinNAP,v1,
F094,Cơm thịt luộc cà pháo,lunch|dinner,rice|pork|pickled_eggplant|fish_sauce|shrimp_paste,450,550,28,60,22,3,2,1000,moderate,40000,vietnamese,ProteinNAP,v1,
F095,Bún đậu mắm tôm,lunch|dinner,rice_noodle|tofu|pork|shrimp_paste|herbs,400,420,20,42,18,3,2,1200,moderate,35000,vietnamese,ProteinNAP,v1,
F096,Ốc luộc,snack,snail|lemongrass|ginger|chili|fish_sauce,300,180,18,5,10,1,0,600,moderate,40000,vietnamese|seafood,ProteinNAP,v1,
F097,Chè trôi nước,snack,sticky_rice_flour|mung_bean|sugar|ginger|coconut_milk,250,280,5,50,8,25,2,40,low,15000,vietnamese|vegetarian,ProteinNAP,v1,
F098,Bánh giò,breakfast|snack,rice_flour|pork|mushroom|banana_leaf,200,280,10,32,12,2,1,600,moderate,15000,vietnamese,ProteinNAP,v1,
F099,Phở cuốn,lunch|dinner,rice_sheet|beef|lettuce|herbs,250,300,18,28,14,2,2,650,moderate,35000,vietnamese,ProteinNAP,v1,
F100,Cơm văn phòng,lunch|dinner,rice|pork|egg|vegetables|fish_sauce|soup,550,620,28,70,22,4,3,1050,moderate,40000,vietnamese,ProteinNAP,v1,
